sim,seed,horizon,target_portfolio_annual_vol,annual_drift,n_events,tp,fn,fp,tn,true_positive_rate,false_negative_rate,false_positive_rate,true_negative_rate,precision,label_positive_rate,true_drift_event_rate,balanced_accuracy,pt_hit_share,sl_hit_share,vertical_hit_share,avg_time_to_pt,avg_time_to_sl
0,20000,30,0.02,0.1,124500,8110,16790,28062,71538,0.3257028112449799,0.6742971887550201,0.28174698795180725,0.7182530120481928,0.22420656861660954,0.29053815261044175,0.2,0.5219779116465864,0.29053815261044175,0.26714056224899596,0.44232128514056224,16.137592613070883,16.670104332661836
0,20000,60,0.02,0.1,124000,8934,15866,29420,69780,0.36024193548387096,0.639758064516129,0.2965725806451613,0.7034274193548387,0.23293528706262712,0.3093064516129032,0.2,0.5318346774193548,0.3093064516129032,0.2685564516129032,0.42213709677419353,30.9731970589769,32.74964715774301
0,20000,90,0.02,0.1,124000,9555,15245,30167,69033,0.3852822580645161,0.6147177419354839,0.30410282258064514,0.6958971774193549,0.24054680026181965,0.32033870967741934,0.2,0.5405897177419354,0.32033870967741934,0.2696209677419355,0.41004032258064516,45.52119732138362,49.14114796757695
0,20000,150,0.02,0.1,123000,10280,14320,30658,67742,0.41788617886178864,0.5821138211382114,0.3115650406504065,0.6884349593495935,0.2511114368068787,0.33282926829268294,0.2,0.5531605691056911,0.33282926829268294,0.2636910569105691,0.40347967479674796,73.85981239923787,81.67740642535611
0,20000,30,0.02,0.3,124500,10798,14102,28062,71538,0.4336546184738956,0.5663453815261044,0.28174698795180725,0.7182530120481928,0.27786927431806485,0.3121285140562249,0.2,0.5759538152610442,0.3121285140562249,0.2528032128514056,0.43506827309236945,16.1174987133299,16.63998856198767
0,20000,60,0.02,0.3,124000,12750,12050,29420,69780,0.5141129032258065,0.48588709677419356,0.2965725806451613,0.7034274193548387,0.30234764050272706,0.34008064516129033,0.2,0.6087701612903226,0.34008064516129033,0.25086290322580646,0.4090564516129032,30.81942138961347,32.658083389590765
0,20000,90,0.02,0.3,124000,14190,10610,30167,69033,0.5721774193548387,0.42782258064516127,0.30410282258064514,0.6958971774193549,0.3199044119304732,0.3577177419354839,0.2,0.6340372983870968,0.3577177419354839,0.24983064516129033,0.39245161290322583,45.17778479157743,49.08128086768456
0,20000,150,0.02,0.3,123000,15996,8604,30658,67742,0.6502439024390244,0.3497560975609756,0.3115650406504065,0.6884349593495935,0.3428644917906289,0.37930081300813007,0.2,0.669339430894309,0.37930081300813007,0.2422520325203252,0.3784471544715447,72.42930938397565,81.54592744235997
0,20000,30,0.02,0.5,124500,13582,11318,28062,71538,0.5454618473895583,0.4545381526104418,0.28174698795180725,0.7182530120481928,0.3261454231101719,0.3344899598393574,0.2,0.6318574297188755,0.3344899598393574,0.24302008032128514,0.42248995983935744,15.99207568917491,16.655770756213645
0,20000,60,0.02,0.5,124000,16333,8467,29420,69780,0.6585887096774193,0.34141129032258066,0.2965725806451613,0.7034274193548387,0.3569820558214762,0.3689758064516129,0.2,0.6810080645161289,0.3689758064516129,0.24031451612903226,0.39070967741935486,30.29198085371451,32.6408939897312
0,20000,90,0.02,0.5,124000,17964,6836,30167,69033,0.7243548387096774,0.27564516129032257,0.30410282258064514,0.6958971774193549,0.37323138933327793,0.3881532258064516,0.2,0.7101260080645162,0.3881532258064516,0.23921774193548387,0.37262903225806454,43.877895742868425,49.11637393385699
0,20000,150,0.02,0.5,123000,20017,4583,30658,67742,0.8136991869918699,0.1863008130081301,0.3115650406504065,0.6884349593495935,0.39500740009866797,0.4119918699186992,0.2,0.7510670731707317,0.4119918699186992,0.23279674796747968,0.35521138211382114,69.39038973852985,81.60829782775721
0,20000,30,0.02,0.7,124500,16016,8884,28062,71538,0.6432128514056225,0.3567871485943775,0.28174698795180725,0.7182530120481928,0.3633558691410681,0.35404016064257027,0.2,0.6807329317269076,0.35404016064257027,0.2362971887550201,0.40966265060240964,15.78218158718635,16.646724905673203
0,20000,60,0.02,0.7,124000,19004,5796,29420,69780,0.7662903225806451,0.23370967741935483,0.2965725806451613,0.7034274193548387,0.3924500247811003,0.3905161290322581,0.2,0.7348588709677419,0.3905161290322581,0.2338548387096774,0.37562903225806454,29.431790021476953,32.66256293537485
0,20000,90,0.02,0.7,124000,20731,4069,30167,69033,0.8359274193548387,0.16407258064516128,0.30410282258064514,0.6958971774193549,0.407304805689811,0.41046774193548385,0.2,0.7659122983870967,0.41046774193548385,0.23362903225806453,0.3559032258064516,42.25466619513537,49.15160510873317
0,20000,150,0.02,0.7,123000,22386,2214,30658,67742,0.91,0.09,0.3115650406504065,0.6884349593495935,0.4220269964557726,0.4312520325203252,0.2,0.7992174796747968,0.4312520325203252,0.2288048780487805,0.3399430894308943,65.92074504185204,81.68684930533348
0,20000,30,0.02,0.9,124500,18046,6854,28062,71538,0.7247389558232932,0.2752610441767068,0.28174698795180725,0.7182530120481928,0.3913854428732541,0.3703453815261044,0.2,0.721495983935743,0.3703453815261044,0.23130923694779115,0.39834538152610444,15.488852259911512,16.65355233002292
0,20000,60,0.02,0.9,124000,21036,3764,29420,69780,0.8482258064516129,0.1517741935483871,0.2965725806451613,0.7034274193548387,0.4169177104804186,0.4069032258064516,0.2,0.7758266129032259,0.4069032258064516,0.23016935483870968,0.3629274193548387,28.533692722371967,32.690970883991454
0,20000,90,0.02,0.9,124000,22488,2312,30167,69033,0.9067741935483871,0.09322580645161291,0.30410282258064514,0.6958971774193549,0.4270819485329029,0.42463709677419353,0.2,0.8013356854838709,0.42463709677419353,0.23074193548387098,0.34462096774193546,40.55761086316589,49.1872640849993
